0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
136ºÅ,0,0,6.24,1,1,0,0,0,0,0,2,24,24,0
137ºÅ,0,1,17.89,1,1,0,0,0,0,1,5,36,60,0
138ºÅ,0,1,1.3,0,1,0,0,0,0,0,3,8,0,0
139ºÅ,0,0,2.21,1,1,1,0,0,0,0,3,12,18,0
140ºÅ,0,0,1.64,0,0,0,0,0,0,0,3,10,0,0
141ºÅ,0,1,3.06,1,1,0,0,0,0,0,3,8,12,0
142ºÅ,0,0,6.5,1,1,0,0,0,0,0,3,24,24,0
143ºÅ,1,0,0.9,1,1,0,0,0,0,0,2.5,10,18,0
144ºÅ,0,0,24.52,0,1,0,0,0,0,1,5,66,0,1
145ºÅ,0,0,1.57,1,1,0,0,0,0,0,2,12,12,0
146ºÅ,0,1,9.28,1,1,0,0,0,0,0,3,36,48,0
147ºÅ,0,0,1.2,1,1,1,0,0,0,0,2.5,6,12,0
148ºÅ,0,0,7.6,1,1,0,0,0,0,0,3.3,36,48,0
149ºÅ,0,0,1.79,1,1,0,0,0,0,0,2,4,6,0
150ºÅ,1,0,34.57,0,1,0,0,0,0,1,5,66,0,1
151ºÅ,0,0,3.28,1,1,0,0,0,0,0,3.5,30,0,0
152ºÅ,0,1,8.45,1,1,0,0,0,0,1,5,28,36,0
153ºÅ,0,0,6.28,1,1,0,0,0,0,0,3,20,20,0
154ºÅ,0,1,4.8,0,1,0,0,0,0,0,3,24,0,0
155ºÅ,0,1,3.2,0,1,0,0,0,0,0,3,12,0,0
156ºÅ,0,0,4.99,1,1,0,0,0,0,0,2,12,24,0
157ºÅ,0,0,2.6,1,1,0,0,0,0,0,2,12,18,0
158ºÅ,0,0,29.61,1,1,0,0,0,0,1,5,66,0,1
159ºÅ,0,1,17.69,0,1,0,0,0,0,1,5,54,0,1
160ºÅ,0,0,2.33,0,1,0,0,0,0,0,2,10,0,0
161ºÅ,0,0,1.27,1,1,0,0,0,0,0,2,2,2,0
162ºÅ,2,1,44.94,0,1,0,0,0,0,1,5,84,0,1
163ºÅ,1,0,0.7,0.17,1,0,0,0,0,0,2,8,0,0
164ºÅ,0,0,1.46,1,1,0,0,0,0,0,2,4,6,0
165ºÅ,0,0,1.47,1,1,0,0,0,0,0,2,6,6,0
166ºÅ,0,0,2.99,1,1,0,0,0,0,0,2,8,12,0
167ºÅ,1,0,0.7,1,1,0,0,0,0,0,2,6,0,0
168ºÅ,0,0,17.42,0,0,0,0,0,0,1,5,66,0,1
169ºÅ,1,0,0.66,0,1,0,0,0,0,0,2,4,0,0
170ºÅ,0,1,10.8,1,1,0,0,0,0,1,6,36,36,1
171ºÅ,0,0,4.72,1,1,0,0,0,0,0,2,12,12,0
172ºÅ,0,0,2.4,1,1,1,0,0,0,0,2,12,18,0
173ºÅ,0,1,1.38,1,1,0,0,0,0,0,2,4,5,0
174ºÅ,0,0,7.55,1,1,0,0,0,0,0,3,24,24,0
175ºÅ,0,0,15.72,1,1,0,0,0,0,1,5.2,62,0,1
176ºÅ,0,0,1.35,0,1,1,0,0,0,0,2,6,12,0
177ºÅ,0,0,9.95,1,1,0,0,0,0,0,4,36,48,0
178ºÅ,0,0,4.51,1,1,1,0,0,0,0,2,12,18,0
179ºÅ,1,0,0.5,1,1,0,0,0,0,0,2,6,12,0
180ºÅ,0,0,2.47,1,1,0,0,0,0,0,2,6,12,0
181ºÅ,0,0,4.1,1,1,0,0,0,0,0,2,9,12,0
182ºÅ,0,1,2.93,1,1,0,0,0,0,0,2,6,6,0
183ºÅ,1,0,0.61,1,1,0,0,0,0,0,2,6,6,0
184ºÅ,0,0,29.73,1,1,0,0,0,0,1,10,66,0,1
185ºÅ,0,0,9.3,1,0,1,0,0,0,0,4,36,36,0
186ºÅ,0,0,2.99,1,1,0,0,0,0,0,2,6,12,0
187ºÅ,1,0,0.5,0,1,0,0,0,0,0,2,12,0,0
188ºÅ,0,0,20.24,0,1,0,0,0,0,1,10,67,0,1
189ºÅ,0,0,2,1,1,0,0,0,0,0,2,6,12,0
190ºÅ,0,1,2.45,0,1,0,0,0,0,0,3,12,0,0
191ºÅ,0,0,7.64,0,0,0,0,0,0,0,3,22,0,0
192ºÅ,1,1,45.68,0,1,0,0,0,0,1,30,82,0,2
193ºÅ,1,1,0.9,1,1,1,0,0,0,0,3,6,12,0
194ºÅ,1,0,0.5,0,0,0,0,0,0,0,2,6,0,0
195ºÅ,0,1,3.74,0,1,0,0,0,0,0,3,18,0,0
196ºÅ,0,0,11.45,0.17,1,0,0,0,0,1,5,60,0,1
197ºÅ,0,0,4.98,1,1,0,0,0,0,0,2.5,18,24,0
198ºÅ,0,0,4.9,1,1,0,0,0,0,0,2,18,24,0
199ºÅ,0,0,27.54,1,0,0,0,0,0,1,5,60,0,1
200ºÅ,0,1,34.43,0,1,0,0,0,0,1,5,66,0,1
201ºÅ,0,1,10.32,1,1,0,0,0,0,0,3,36,36,0
202ºÅ,0,0,2.89,1,1,0,0,0,0,0,2,6,12,0
203ºÅ,0,0,2.46,1,1,0,0,0,0,0,2,10,18,0
204ºÅ,1,0,7.93,0,1,1,0,0,0,1,5,36,0,0
205ºÅ,0,0,2.92,1,1,0,0,0,0,0,2,12,24,0
206ºÅ,0,0,47.25,0,1,0,0,0,0,1,10,90,0,1
207ºÅ,0,0,9.86,1,1,0,0,0,0,0,3,24,24,0
208ºÅ,0,0,2.21,1,1,0,0,0,0,0,2,12,12,0
209ºÅ,0,0,3.48,1,1,0,0,0,0,0,2,6,12,0
210ºÅ,1,0,0.52,1,1,0,0,0,0,0,2,6,12,0
211ºÅ,0,0,1.51,1,1,0,0,0,0,0,2,6,12,0
